3,Daniel,Monroy,danimon96@gmail.com,1234,1
2,Daniel,Monroy,danimon96@gmail.com,1234,1
3,Tomas,Monroy,daniel.monroym@udea.edu.co,1234,1
5,ahhh,aaa,aaa@gmail.com,123,1
5,ahhh,aaa,aaa@gmail.com,123,1
6,ahhh,aaa,aaa@gmail.com,123,1
7,Sergio,Estrada,sergio@gmail.com,123,1
8,Sergio,Estrada,sergio@gmail.com,123,1
10,Sergio,Estrada,sergio@gmail.com,123,1
10,Sergio,Estrada,sergio@gmail.com,123,1
11,Jason,Acas,Jason@gmail.com,123,1
12,Melo,Melito,danimon96@gmail.com,123,1
12,Miguel,Mejor,Miguel@gmai.com,123,1
13,Oswaldo,Monroy,omonroy@hotmail.com,1234,1
14,Marisa,Marin,aaa@gmail.com,123,1
15,Marisa,Marin,aaa@gmail.com,123,1
